Core,Latitude,Longitude,Water depth (m),Symbiosis,Spinose,Relative_Abundance
D11798#3,27.563,-27.652,5210,No,Yes,0.063
D11798#3,27.563,-27.652,5210,Yes,No,0.23
D11798#3,27.563,-27.652,5210,Yes,Yes,1.101
D11799#1,28.772,-26.457,5270,No,No,0.26400000000000007
D11799#1,28.772,-26.457,5270,No,Yes,0.057999999999999996
D11799#1,28.772,-26.457,5270,Yes,No,0.23099999999999998
D11799#1,28.772,-26.457,5270,Yes,Yes,1.077
D11800#2,28.408,-25.812,5270,No,No,0.215
D11800#2,28.408,-25.812,5270,No,Yes,0.051
D11800#2,28.408,-25.812,5270,Yes,No,0.205
D11800#2,28.408,-25.812,5270,Yes,Yes,1.213
D11802#1,28.58,-25.315,5275,No,No,0.218
D11802#1,28.58,-25.315,5275,No,Yes,0.067
D11802#1,28.58,-25.315,5275,Yes,No,0.18
D11802#1,28.58,-25.315,5275,Yes,Yes,1.234
D11803#1,28.16,-25.468,5250,No,No,0.20900000000000002
D11803#1,28.16,-25.468,5250,No,Yes,0.019
D11803#1,28.16,-25.468,5250,Yes,No,0.4989999999999999
D11803#1,28.16,-25.468,5250,Yes,Yes,0.708
D11807#1,29.527,-25.23,5345,No,No,0.429
D11807#1,29.527,-25.23,5345,No,Yes,0.109
D11807#1,29.527,-25.23,5345,Yes,No,0.33
D11807#1,29.527,-25.23,5345,Yes,Yes,0.5950000000000001
D11809#1,29.455,-24.758,5345,No,No,0.271
D11809#1,29.455,-24.758,5345,No,Yes,0.051
D11809#1,29.455,-24.758,5345,Yes,No,0.324
D11809#1,29.455,-24.758,5345,Yes,Yes,0.9180000000000001
D11815#5,33.5,-22.623,5330,No,No,0.33
D11815#5,33.5,-22.623,5330,No,Yes,0.185
D11815#5,33.5,-22.623,5330,Yes,No,0.272
D11815#5,33.5,-22.623,5330,Yes,Yes,0.6940000000000001
D11817#1,32.418,-23.527,5355,No,No,0.187
D11817#1,32.418,-23.527,5355,No,Yes,0.113
D11817#1,32.418,-23.527,5355,Yes,No,0.341
D11817#1,32.418,-23.527,5355,Yes,Yes,0.7929999999999998
D11819#1,33.11,-23.962,5380,No,No,0.214
D11819#1,33.11,-23.962,5380,No,Yes,0.076
D11819#1,33.11,-23.962,5380,Yes,No,0.395
D11819#1,33.11,-23.962,5380,Yes,Yes,0.7930000000000001
D11820#2,33.488,-22.625,5330,No,No,0.3340000000000001
D11820#2,33.488,-22.625,5330,No,Yes,0.15
D11820#2,33.488,-22.625,5330,Yes,No,0.38
D11820#2,33.488,-22.625,5330,Yes,Yes,0.501
D11820#4,33.503,-22.625,5330,No,No,0.39299999999999996
D11820#4,33.503,-22.625,5330,No,Yes,0.11599999999999999
