Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia hirsuta,Globorotalia scitula,Turborotalita humilis & Berggrenia pumilio,Candeina nitida ,Globigerinita glutinata
MD972151,Piston,8.73,109.87,1589,South China Sea,5.795,,19.79,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.4,0,17.93,0,15.94,0,1.2,7.57,3.98,1.2,0,2.79,0,0,0,18.73,1.59,0,17.93,1.59,0,3.59,0,0.4,1.2,0,3.98
MD972151,Piston,8.73,109.87,1589,South China Sea,5.875,,19.95,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0,0,24.84,0,10.83,0,2.23,6.37,3.5,0.64,0,2.23,0,0,0,19.75,1.27,0,16.88,0.64,0,2.87,0,0.64,1.91,0,5.41
MD972151,Piston,8.73,109.87,1589,South China Sea,5.955,,20.11,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.89,0,22.73,0,12.12,0,1.52,4.92,3.79,0,0,2.65,0,0,0,19.7,3.79,0,15.53,2.27,0.76,2.27,0,0,0.38,0,5.68
MD972151,Piston,8.73,109.87,1589,South China Sea,6.035,,20.27,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.13,0.75,26.42,0.38,12.83,0,1.89,6.04,7.92,0.75,0,3.02,0,0,0,14.72,1.51,0,10.94,0.38,0,0.75,0,1.13,2.64,0,6.79
MD972151,Piston,8.73,109.87,1589,South China Sea,6.115,,20.43,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.29,0.51,19.79,0,11.05,0,0.77,9.77,5.4,0.26,0.51,3.34,0,0,0,19.54,1.03,0,16.71,0.26,0,3.08,0,0.26,1.03,0,5.4
MD972151,Piston,8.73,109.87,1589,South China Sea,6.195,,20.6,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.73,0.86,23.05,0,11.53,0,1.44,5.76,4.03,0.29,0,2.88,0,0,0,21.61,0.58,0,16.71,0.29,0,2.02,0,0,1.44,0,5.76
MD972151,Piston,8.73,109.87,1589,South China Sea,6.275,,20.76,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.83,0,21.55,0,12.15,0,2.76,7.46,5.25,0,0.28,0.55,0,0,0,22.93,1.38,0,15.75,0,0.28,3.31,0,0.28,0.83,0,4.42
MD972151,Piston,8.73,109.87,1589,South China Sea,6.355,,20.92,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.11,0.42,26.16,0.42,12.66,0,3.8,5.06,2.95,0,0,1.69,0,0,0,21.1,2.11,0,15.19,0,0,0.42,0,0.42,2.53,0,2.95
MD972151,Piston,8.73,109.87,1589,South China Sea,6.435,,21.08,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.59,0,22.32,0,18.68,0,1.37,6.15,3.42,0,0,1.37,0,0,0,19.13,1.14,0,17.08,0.23,0.23,1.14,0,0.23,0.91,0,5.01
MD972151,Piston,8.73,109.87,1589,South China Sea,6.515,,22.57,,,,,"Huang, C.C. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.02,0,24.87,1.02,5.58,0,3.05,7.61,5.08,0.51,0,1.02,0,0,0,14.21,1.02,0,29.44,2.54,0,0,0,0.51,0,0,2.54
MD012394,Piston,13.78,110.25,2097,SCS,5.09,5.1,19.07,,,,,"Yu, P.S. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jul-03,0.75,0,19.17,3.01,4.14,0,1.88,4.51,3.38,0.75,0.75,1.13,0,0,0,39.1,0.38,0,2.63,3.38,0,0,0,4.51,2.63,0,7.89
MD012394,Piston,13.78,110.25,2097,SCS,5.14,5.15,19.33,,,,,"Yu, P.S. & Chen, M.T.","Huang, C.C. & Chen, M.T.",Jul-03,0.83,0,19.06,1.1,6.63,0,2.21,4.42,6.08,0.55,1.1,1.38,0,0,0,32.04,0,0,4.97,1.66,0,0,0,4.14,6.63,0,7.18
