Event,Latitude,Longitude,Elevation [m],Depth [m],Sample comment,O. universa [#],G. conglobatus [#],G. ruber p [#],G. ruber w [#],G. ruber [#] (sum of G. ruber pink and G. r...),G. tenellus [#],G. sacculifer wo sac [#],G. sacculifer sac [#],G. sacculifer [#] (sum of G. sacculifer no sac a...),S. dehiscens [#],G. adamsi [#],G. aequilateralis [#],G. calida [#],G. bulloides [#],G. falconensis [#],G. digitata [#],G. rubescens [#],G. humilis [#],G. quinqueloba [#],N. pachyderma s [#],N. pachyderma d [#],G. dutertrei [#],G. conglomerata [#],G. hexagona [#],P. obliquiloculata [#],G. inflata [#],G. truncatulinoides s [#],G. truncatulinoides d [#],G. crassaformis [#],G. pachyderma [#],G. hirsuta [#],G. scitula [#],G. anfracta [#],G. menardii [#],G. tumida [#],G. tumida flexuosa [#],"G. menardii [#] (sum of G. menardii, G. tumida...)",C. nitida [#],G. glutinata [#],G. iota [#],G. bradyi [#],G. pumilio [#],H. pelagica [#],H. digitata [#],Foram plankt oth [#]
RC17-110,-2.807,61.203,-4395,0,,0,12,0,76,76,0,21,12,33,0,0,13,6,5,0,5,3,0,0,0,8,56,2,15,15,0,0,4,1,7,0,2,0,63,6,0,69,0,12,0,0,0,0,0,0
RC17-114,19.193,66.29,-2967,0,,2,5,0,64,64,0,41,8,49,0,0,10,5,11,1,1,0,0,0,0,0,22,4,0,16,0,0,1,0,0,0,2,0,29,2,0,31,0,85,0,0,0,0,0,0
RC17-116,21.472,67.298,-2195,0,,4,1,0,65,65,10,5,2,7,0,0,2,5,40,36,0,6,0,0,0,0,4,0,1,8,1,0,0,0,0,0,0,0,5,0,0,5,0,107,0,0,0,0,0,0
RC17-121,14.763,70.058,-3481,0,,0,2,0,13,13,1,9,5,14,2,0,4,0,5,0,3,3,0,0,0,0,16,2,7,10,0,0,0,0,0,0,0,0,37,0,0,37,0,4,0,0,0,1,0,0
RC17-123,12.858,70.255,-3581,0,,0,1,0,13,13,0,12,6,18,1,0,13,5,10,1,4,5,0,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0
RC17-125,9.582,72.763,-1734,0,,6,5,1,101,102,29,24,8,32,0,0,19,20,26,0,5,6,0,0,0,1,21,2,17,13,0,0,0,0,0,0,1,0,15,0,0,15,0,56,0,0,0,0,0,0
RC17-126,7.28,72.805,-1743,0,,1,0,0,87,87,10,13,11,24,3,0,12,19,43,1,3,13,0,0,0,0,28,5,12,19,0,0,0,0,0,0,2,0,16,0,0,16,2,78,0,0,0,0,0,0
RC17-98,-13.22,65.617,-3409,0.53,,5,7,,,78,3,,,22,0,0,11,7,10,3,0,7,0,0,0,2,29,1,1,5,0,0,1,0,1,2,4,,12,21,0,12,0,68,,,,,,
RE009-7,59.6532,-22.77,-2468,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,113,1,0,0,0,22,25,104,0,0,0,0,12,0,0,0,43,1,3,0,0,0,0,0,0,79,0,0,0,0,0,5
SP009-003,53.867,-21.1328,-2743,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,13,32,190,3,0,0,0,71,0,6,0,111,0,5,0,0,0,0,0,0,44,0,0,0,0,0,11
SP010-005,63.4832,-0.0667,-2012,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,138,63,0,0,0,0,2,1,0,0,60,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2
V02-9,42.467,-54.9,-4702,0,,1,8,0,4,4,0,0,0,0,0,0,0,0,18,2,1,0,0,10,34,103,7,0,0,1,99,0,1,0,124,0,2,0,3,0,0,3,0,5,0,0,0,0,0,10
V03-128,23.767,-92.47,-3590,0,,7,3,37,132,169,0,34,10,44,0,0,0,8,7,0,0,2,0,0,0,2,10,0,0,20,0,0,28,1,0,0,0,0,21,2,0,23,0,12,0,0,0,0,0,5
V04-12,36.8498,-21.017,-4500,0,,6,3,1,65,66,3,26,9,35,0,0,9,12,51,96,0,1,1,4,0,24,0,0,0,1,77,18,24,2,15,15,11,0,0,0,0,0,0,41,0,0,0,0,0,3
V05-1,32.6,-69.5,-5323,0,,2,4,0,91,91,1,10,2,12,0,0,6,1,66,13,0,0,2,0,0,2,8,0,0,4,81,24,3,0,1,28,0,0,4,6,0,10,2,0,0,0,0,0,0,13
V05-31,32.283,-65.12,-1597,0,,3,4,8,71,79,8,7,0,7,0,0,9,9,7,63,0,15,1,0,0,3,5,0,0,1,25,23,8,0,1,10,0,0,1,1,0,2,0,27,0,0,0,0,0,9
V05-40,32.217,-64.72,-1953,0,,2,0,9,107,116,11,4,0,4,0,0,28,10,25,62,0,6,1,0,0,1,0,0,0,2,8,22,3,0,1,16,2,0,0,0,0,0,0,32,0,0,0,0,0,12
