Core,Region,Longitude,Latitude,Water_depth,Dating_ctrl,Confidence_rank,Productivity_anomlies
LV28-42-4,PA-NWP,150.9854,51.7148,1225,"14C, d18O, LC",9,-1
XP98-PC-2,PA-NWP,148.3333333,51.4,1258,"14C, d18O",9,-1
LV28-40-5,PA-NWP,147.1768833,51.33408333,1041,"14C, d18O",9,-1
MD01-2416,PA-NWP,167.725,51.268,3640,"14C, d18O, LC",7,99
XP98-PC-1,PA-NWP,152,51,1107,"14C, d18O",10,-1
GGC-37,PA-NWP,167.72,50.42,3571,14C,6,99
GC-36,PA-NWP,167.7333333,50.41666667,1980,d18O,6,1
K-119,PA-NWP,167.7333333,50.41666667,2388,d18O,6,-1
ODP 882,PA-NWP,167.6,50.36666667,3244,d18O,7,99
V34-98,PA-NWP,153.2,50.11,1175,"14C, d18O",7,-1
KH99-03 Sta ES,PA-NWP,168.315,49.745,2388,LC,4,-1
PC-13,PA-NWP,168.3019,49.7181,2215,14C,9,0
XP98-PC-4,PA-NWP,146.1166667,49.5,664,LC,6,-1
MD02-2496,PA-NEP,-127.04,48.97,3390,"14C, d18O",8,-1
